"id","kode_prov","nama_prov","kode_kab","id_kab","nama_kab","kode_kec","id_kec","nama_kec","kode_desa","id_desa","nama_desa","klas","kode_sls4","kode_sls6","kdsubsls","id_sls","id_sls6","nama_sls","sls_op","jenis_sls","j_keluarga","tipe_sls","realisasi_clean","realisasi_error","koseka_approved","koseka_unapproved","tagging_wilkerstat","tagging_sangatmiskin","jml_keluarga_tagging","percepatan","updated_at"
"1","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","1","7101021001","TORAUT","2","0001","000100","00","71010210010001","7101021001000100","RT 1 DUSUN 1","1","SLS","41","1","5","0","1","4","18","1","23","0","2022-12-15 06:01:18"
"2","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","1","7101021001","TORAUT","2","0002","000200","00","71010210010002","7101021001000200","RT 2 DUSUN 1","1","SLS","20","1","24","0","24","0","19","1","24","0","2022-12-15 06:01:18"
"3","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","1","7101021001","TORAUT","2","0003","000300","00","71010210010003","7101021001000300","RT 3 DUSUN 2","1","SLS","45","1","50","4","24","26","49","4","58","1","2022-12-15 06:01:18"
"4","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","1","7101021001","TORAUT","2","0004","000400","00","71010210010004","7101021001000400","RT 4 DUSUS 3","1","SLS","48","1","0","0","0","0","45","6","56","0","2022-12-15 06:01:18"
"5","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","1","7101021001","TORAUT","2","0005","000500","00","71010210010005","7101021001000500","RT 5 DUSUN 4","1","SLS","76","1","8","0","0","8","21","8","25","0","2022-12-15 06:01:18"
"6","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","1","7101021001","TORAUT","2","0006","000600","00","71010210010006","7101021001000600","RT 6 DUSUN 4","1","SLS","31","1","38","0","36","2","26","5","39","1","2022-12-15 06:01:18"
"7","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","1","7101021001","TORAUT","2","0007","000700","00","71010210010007","7101021001000700","RT 7 DUSUN 5","1","SLS","65","1","0","0","0","0","53","1","69","0","2022-12-15 06:01:18"
"8","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","1","7101021001","TORAUT","2","0008","000800","00","71010210010008","7101021001000800","RT 8 DUSUN 6","1","SLS","28","1","0","0","0","0","37","3","48","0","2022-12-15 06:01:18"
"9","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","1","7101021001","TORAUT","2","0009","000900","00","71010210010009","7101021001000900","RT 9 DUSUN 7","1","SLS","27","1","0","0","0","0","14","7","21","0","2022-12-15 06:01:18"
"10","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","1","7101021001","TORAUT","2","0010","001000","00","71010210010010","7101021001001000","RT 10 DUSUN 7","1","SLS","17","1","24","0","12","12","20","7","25","1","2022-12-15 06:01:18"
"11","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","1","7101021001","TORAUT","2","0011","001100","00","71010210010011","7101021001001100","RT 11 DUSUN 8","1","SLS","15","1","0","0","0","0","15","4","19","0","2022-12-15 06:01:18"
"12","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","1","7101021001","TORAUT","2","0012","001200","00","71010210010012","7101021001001200","RT 12 DUSUN 8","1","SLS","23","1","0","0","0","0","24","0","28","0","2022-12-15 06:01:18"
"13","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","1","7101021001","TORAUT","2","1001","100100","00","71010210011001","7101021001100100","PERKEBUNAN",,"NONSLS",,"3","0","0","0","0",NULL,"0","0","0","2022-12-15 06:01:18"
"14","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","1","7101021001","TORAUT","2","1002","100200","00","71010210011002","7101021001100200","PERKEBUNAN",,"NONSLS",,"3","0","0","0","0",NULL,"0","0","0","2022-12-15 06:01:18"
"15","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","2","7101021002","MATAYANGAN","2","0001","000100","00","71010210020001","7101021002000100","RT 1 DUSUN 1","1","SLS","27","1","0","0","0","0","38","0","45","0","2022-12-15 06:01:18"
"16","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","2","7101021002","MATAYANGAN","2","0002","000200","00","71010210020002","7101021002000200","RT 2 DUSUN 1","1","SLS","47","1","50","1","17","33","42","2","58","1","2022-12-15 06:01:18"
