id;kode_prov;nama_prov;kode_kab;id_kab;nama_kab;kode_kec;id_kec;nama_kec;kode_desa;id_desa;nama_desa;klas;kode_sls4;kode_sls6;kdsubsls;id_sls;id_sls6;nama_sls;jenis_sls
1;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;1;7101021001;TORAUT;2;0001;000100;00;71010210010001;7101021001000100;RT 1 DUSUN 1;SLS
2;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;1;7101021001;TORAUT;2;0002;000200;00;71010210010002;7101021001000200;RT 2 DUSUN 1;SLS
3;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;1;7101021001;TORAUT;2;0003;000300;00;71010210010003;7101021001000300;RT 3 DUSUN 2;SLS
4;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;1;7101021001;TORAUT;2;0004;000400;00;71010210010004;7101021001000400;RT 4 DUSUS 3;SLS
5;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;1;7101021001;TORAUT;2;0005;000500;00;71010210010005;7101021001000500;RT 5 DUSUN 4;SLS
6;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;1;7101021001;TORAUT;2;0006;000600;00;71010210010006;7101021001000600;RT 6 DUSUN 4;SLS
7;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;1;7101021001;TORAUT;2;0007;000700;00;71010210010007;7101021001000700;RT 7 DUSUN 5;SLS
8;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;1;7101021001;TORAUT;2;0008;000800;00;71010210010008;7101021001000800;RT 8 DUSUN 6;SLS
9;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;1;7101021001;TORAUT;2;0009;000900;00;71010210010009;7101021001000900;RT 9 DUSUN 7;SLS
10;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;1;7101021001;TORAUT;2;0010;001000;00;71010210010010;7101021001001000;RT 10 DUSUN 7;SLS
